number,temperature,pressure,acceleration
148,23.8125,1010.24,"[9.80664, -0.431492, -0.0392266]"
149,23.25,1010.49,"[9.49284, -0.11768, -0.353039]"
150,23.8125,1010.24,"[9.84587, -0.431492, -0.196133]"
151,23.25,1010.49,"[9.49284, -0.0784532, -0.156906]"
152,23.75,1010.24,"[9.7282, -0.509946, -0.11768]"
153,23.25,1010.49,"[9.53206, -0.11768, -0.313813]"
154,23.75,1010.24,"[9.76742, -0.431492, -0.0392266]"
155,23.25,1010.49,"[9.53206, -0.0784532, -0.156906]"
156,23.8125,1010.24,"[9.80664, -0.470719, -0.11768]"
157,23.25,1010.49,"[9.57129, -0.0392266, -0.313813]"
158,23.75,1010.25,"[9.80664, -0.549172, -0.11768]"
159,23.25,1010.49,"[9.49284, -0.0784532, -0.156906]"
160,23.75,1010.23,"[9.76742, -0.431492, -0.0392266]"
161,23.25,1010.48,"[9.57129, -0.11768, -0.23536]"
162,23.75,1010.23,"[9.80664, -0.313813, 0.0]"
163,23.25,1010.47,"[9.53206, -0.11768, -0.23536]"
164,23.6875,1010.22,"[9.76742, -0.509946, 0.0]"
165,23.1875,1010.47,"[9.49284, -0.0784532, -0.156906]"
166,23.75,1010.23,"[9.7282, -0.431492, -0.0392266]"
167,23.25,1010.47,"[9.57129, -0.0784532, -0.156906]"
168,23.75,1010.23,"[9.68897, -0.509946, -0.0784532]"
169,23.25,1010.47,"[9.57129, -0.0784532, -0.470719]"
170,23.75,1010.23,"[9.80664, -0.470719, -0.0784532]"
171,23.25,1010.49,"[9.57129, -0.0784532, -0.274586]"
172,23.75,1010.24,"[9.7282, -0.431492, -0.11768]"
173,23.25,1010.49,"[9.49284, -0.11768, -0.23536]"
174,23.75,1010.24,"[9.61051, -0.274586, -0.274586]"
175,23.25,1010.49,"[9.61051, -0.0784532, -0.196133]"
176,23.75,1010.24,"[9.7282, -0.392266, 0.0392266]"
177,23.3125,1010.49,"[9.53206, -0.0784532, -0.196133]"
178,23.75,1010.24,"[9.84587, -0.392266, 0.0]"
179,23.3125,1010.49,"[9.53206, -0.156906, -0.196133]"
180,23.75,1010.24,"[9.7282, -0.431492, -0.0784532]"
181,23.3125,1010.49,"[9.45361, -0.11768, -0.156906]"
182,23.75,1010.24,"[9.68897, -0.431492, -0.0784532]"
183,23.3125,1010.49,"[9.53206, -0.156906, -0.196133]"
184,23.75,1010.24,"[9.64974, -0.470719, -0.0784532]"
185,23.25,1010.49,"[9.49284, -0.0392266, -0.196133]"
186,23.75,1010.24,"[9.68897, -0.549172, -0.0784532]"
187,23.3125,1010.49,"[9.53206, -0.0784532, -0.274586]"
188,23.75,1010.24,"[9.8851, -0.431492, -0.156906]"
189,23.25,1010.49,"[9.49284, -0.0784532, -0.23536]"
