time,acc_x,acc_y,acc_z
1702042202710.82,-0.785,-0.078,9.101
1702042202710.835,-0.628,0.0,9.061
1702042202710.85,-0.667,0.0,9.218
1702042202710.865,-0.706,0.0,9.101
1702042202710.88,-0.588,-0.039,9.061
1702042202710.895,-0.588,-0.118,9.101
1702042202710.91,-0.549,-0.078,9.101
1702042202710.925,-0.628,-0.039,9.14
1702042202710.94,-0.667,0.0,9.061
1702042202710.955,-0.628,0.0,9.14
1702042202710.97,-0.628,-0.039,9.061
1702042202710.985,-0.628,-0.118,9.14
1702042202711.0,-0.667,-0.039,9.101
1702042203262.7,-0.51,0.0,9.061
1702042203262.715,-0.785,-0.157,9.061
1702042203262.73,-0.588,0.039,9.14
1702042203262.745,-0.667,-0.078,9.14
1702042203262.76,-0.667,0.0,9.14
1702042203262.775,-0.667,-0.078,9.101
1702042203262.79,-0.549,-0.039,9.14
1702042203262.805,-0.706,-0.039,9.061
1702042203262.82,-0.588,-0.039,9.101
1702042203262.835,-0.667,-0.078,9.101
1702042203262.85,-0.628,-0.039,9.101
1702042203262.865,-0.706,-0.078,9.101
1702042203262.88,-0.549,-0.039,9.101
1702042203262.895,-0.549,-0.039,9.061
1702042203262.91,-0.549,-0.039,9.022
1702042203262.925,-0.549,0.0,9.14
1702042203262.94,-0.706,-0.118,9.061
1702042203262.955,-0.628,0.0,9.101
1702042203262.97,-0.745,-0.078,9.101
1702042203262.985,-0.549,0.0,9.061
1702042203263.0,-0.745,-0.078,9.14
1702042203269.7,-0.549,-0.039,9.14
1702042203269.715,-0.667,-0.078,9.101
1702042203269.73,-0.588,0.0,9.14
1702042203269.745,-0.667,0.0,9.14
1702042203269.76,-0.628,-0.039,9.101
1702042203269.775,-0.706,0.0,9.101
1702042203269.79,-0.745,-0.078,9.061
1702042203269.805,-0.628,-0.039,9.061
1702042203269.82,-0.706,-0.078,9.14
1702042203269.835,-0.667,0.0,9.022
1702042203269.85,-0.706,-0.039,9.022
1702042203269.865,-0.549,0.0,9.101
1702042203269.88,-0.706,-0.118,9.14
1702042203269.895,-0.667,0.0,9.061
1702042203269.91,-0.745,-0.039,9.101
1702042203269.925,-0.628,-0.039,9.061
1702042203269.94,-0.628,0.0,9.101
1702042203269.955,-0.628,-0.078,9.101
1702042203269.97,-0.588,0.0,9.14
1702042203269.985,-0.706,-0.039,9.101
1702042203270.0,-0.51,0.0,9.061
1702042203813.7,-0.549,-0.039,9.101
1702042203813.715,-0.628,-0.078,9.061
